"...1","object_id","city","county","region","development","locality","on_road","rural_urban","speed_limit","traffic_control","weather","workzone","bike_age","bike_age_group","bike_alcohol","bike_alcohol_drugs","bike_direction","bike_injury","bike_position","bike_race","bike_sex","driver_age","driver_age_group","driver_alcohol","driver_alcohol_drugs","driver_est_speed","driver_injury","driver_race","driver_sex","driver_vehicle_type","crash_alcohol","crash_date","crash_day","crash_group","crash_hour","crash_location","crash_month","crash_severity","crash_time","crash_type","crash_year","ambulance_req","hit_run","light_condition","road_character","road_class","road_condition","road_configuration","road_defects","road_feature","road_surface","num_bikes_ai","num_bikes_bi","num_bikes_ci","num_bikes_ki","num_bikes_no","num_bikes_to","num_bikes_ui","num_lanes","num_units","distance_mi_from","frm_road","rte_invd_cd","towrd_road"
1478,352,"Greensboro","Guilford","Piedmont","Residential","Urban (>70% Developed)","HIGHLAND AV","Urban","20 - 25  MPH","Stop Sign","Clear","No",21,"20-24",NA,"No",NA,"C: Possible Injury","Travel Lane","Black","Male",45,"40-49",NA,"No","21-25 mph","O: No Injury","Black","Male","Passenger Car","No","28JUL2014","Monday","Bicyclist Failed to Yield - Sign-Controlled Intersection",14,"Intersection","July","C: Possible Injury",52320,"Bicyclist Ride Through - Sign-Controlled Intersection",2014,"Yes","No","Daylight","Straight - Bottom","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Coarse Asphalt",0,0,1,0,0,1,0,"2 lanes",2,0,"HERTFORD ST",50013978,"HAYWOOD ST"
1479,355,"Wilmington","New Hanover","Coastal","Residential","Urban (>70% Developed)","PRINCESS PLACE DR","Urban","30 - 35  MPH","Stop Sign","Clear","No",41,"40-49",NA,NA,"Facing Traffic","B: Evident Injury","Bike Lane / Paved Shoulder","White","Male",25,"25-29",NA,NA,"0-5 mph","Unknown Injury","White","Male","Passenger Car","No","27JUN2014","Friday","Motorist Failed to Yield - Sign-Controlled Intersection",19,"Intersection","June","B: Evident Injury",70200,"Motorist Drive Out - Sign-Controlled Intersection",2014,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt",0,1,0,0,0,1,0,"2 lanes",2,0,"KENWOOD AVE",40001301,"23RD ST"
1480,356,"Boone","Watauga","Mountains","Commercial","Urban (>70% Developed)","BLOWING ROCK RD","Urban","5 - 15 MPH","Other","Clear","No",21,"20-24",NA,"No","With Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male",NA,NA,NA,"Missing","16-20 mph","O: No Injury","White","Female","Sport Utility","No","26JUL2014","Saturday","Motorist Right Turn / Merge",6,"Non-Intersection","July","C: Possible Injury",23100,"Motorist Right Turn - Same Direction",2014,"Yes","Yes","Daylight","Straight - Level","US Route","Dry","Two-Way, Not Divided","None","Driveway, Public","Coarse Asphalt",0,0,1,0,0,1,0,"5 lanes",2,0.047,"105",20000321,"HIGHLAND AVE"
1481,357,"Raleigh","Wake","Piedmont","Commercial","Urban (>70% Developed)","PVA 1707 HILLSBOROUGH ST","Urban","5 - 15 MPH","No Control Present","Clear","No",30,"30-39",NA,"No","With Traffic","C: Possible Injury","Bike Lane / Paved Shoulder","White","Male",67,"60-69",NA,"No","6-10 mph","O: No Injury","Black","Female","Passenger Car","No","04JUL2014","Friday","Motorist Right Turn / Merge",12,"Non-Intersection","July","C: Possible Injury",44100,"Motorist Right Turn - Same Direction",2014,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,1,0,0,1,0,"2 lanes",2,0,"HILLSBOROUGH ST",0,"ASHE AVE"
1482,368,"Fayetteville","Cumberland","Coastal","Residential","Urban (>70% Developed)","PVA 818 ENGLISH CT","Urban","5 - 15 MPH","No Control Present","Cloudy","No",5,"0-5",NA,"No","Not Applicable","C: Possible Injury","Non-Roadway","Black","Female",21,"20-24",NA,"No","0-5 mph","O: No Injury","White","Male","Pickup","No","08JUN2014","Sunday","Non-Roadway",17,"Non-Roadway","June","C: Possible Injury",63000,"Non-Roadway",2014,"No","No","Daylight","Straight - Level","Public Vehicular Area","Dry","One-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,1,0,0,1,0,NA,2,0,"ENGLISH CT",0,"MONTCLAIR RD"
1483,370,"None - Rural Crash","Hoke","Coastal","Farms, Woods, Pastures","Rural (<30% Developed)","1406","Rural","50 - 55  MPH","Double Yellow Line, No Passing Zone","Clear","No",14,"11-15",NA,"No","With Traffic","B: Evident Injury","Travel Lane","Black","Male",63,"60-69",NA,"No","51-55 mph","O: No Injury","Black","Female","Passenger Car","No","24JUL2014","Thursday","Motorist Overtaking Bicyclist",14,"Non-Intersection","July","B: Evident Injury",50400,"Motorist Overtaking - Other / Unknown",2014,"Yes","No","Daylight","Straight - Bottom","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,1,0,0,0,1,0,"2 lanes",2,0.23,"1412",40001406,"1414"
1484,379,"Greensboro","Guilford","Piedmont","Residential","Mixed (30% To 70% Developed)","COTSALD AV","Urban","30 - 35  MPH","Stop And Go Signal","Clear","No",56,"50-59",NA,"No","Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male",28,"25-29",NA,"No","0-5 mph","O: No Injury","White","Female","Passenger Car","No","29JUL2014","Tuesday","Motorist Failed to Yield - Signalized Intersection",12,"Intersection","July","C: Possible Injury",44280,"Motorist Drive Out - Right Turn on Red",2014,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Coarse Asphalt",0,0,1,0,0,1,0,"3 lanes",2,0,"OLD BATTLEGROUND AV",0,"BATTLEGROUND AV"
1485,386,"High Point","Guilford","Piedmont","Residential","Rural (<30% Developed)","MODEL FARM RD","Urban","30 - 35  MPH","Double Yellow Line, No Passing Zone","Clear","No",38,"30-39",NA,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male",40,"40-49",NA,"No","21-25 mph","O: No Injury","White","Male","Passenger Car","No","13JUN2014","Friday","Motorist Overtaking Bicyclist",15,"Non-Intersection","June","B: Evident Injury",54720,"Motorist Overtaking - Other / Unknown",2014,"Yes","No","Daylight","Straight - Hillcrest","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,1,0,0,0,1,0,"2 lanes",2,0.089,"FRANCIS ST",0,"ELVA PL"
1486,388,"None - Rural Crash","Lincoln","Piedmont","Residential","Mixed (30% To 70% Developed)","SR 2046","Rural","20 - 25  MPH","Stop Sign","Clear","No",NA,"70+",NA,"No","With Traffic","B: Evident Injury","Travel Lane","White","Female",39,"30-39",NA,"No","6-10 mph","O: No Injury","White","Female","Sport Utility","No","14JUN2014","Saturday","Motorist Failed to Yield - Sign-Controlled Intersection",10,"Intersection","June","B: Evident Injury",39300,"Motorist Drive Through - Sign-Controlled Intersection",2014,"Yes","No","Daylight","Curve - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt",0,1,0,0,0,1,0,"2 lanes",2,0,"2045",40002046,"DEAD END"
1487,392,"Raleigh","Wake","Piedmont","Residential","Urban (>70% Developed)","DALEVIEW DR","Urban","20 - 25  MPH","No Control Present","Clear","No",7,"6-10",NA,"No","Facing Traffic","C: Possible Injury","Travel Lane","Black","Male",42,"40-49",NA,"No","6-10 mph","O: No Injury","Asian","Male","Passenger Car","No","05AUG2014","Tuesday","Head-On",19,"Non-Intersection","August","C: Possible Injury",69360,"Head-On - Bicyclist",2014,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,1,0,0,1,0,"2 lanes",2,0.004,"PENNCROSS",0,"TAYLORS CREEK CT"
1488,397,"Raleigh","Wake","Piedmont","Residential","Urban (>70% Developed)","GARNER RD","Urban","30 - 35  MPH","Stop And Go Signal","Clear","No",16,"16-19",NA,"No","With Traffic","A: Disabling Injury","Travel Lane","Black","Male",NA,"70+",NA,"No","21-25 mph","O: No Injury","Black","Female","Passenger Car","No","07AUG2014","Thursday","Bicyclist Failed to Yield - Signalized Intersection",12,"Intersection","August","A: Disabling Injury",45540,"Bicyclist Ride Through - Signalized Intersection",2014,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt",1,0,0,0,0,1,0,"3 lanes",2,0,"CROSS LINK RD",50011494,"HILLTOP DR"
1489,398,"High Point","Guilford","Piedmont","Commercial","Urban (>70% Developed)","WASHINGTON ST","Urban","30 - 35  MPH","Stop Sign","Clear","No",13,"11-15",NA,"No","With Traffic","B: Evident Injury","Travel Lane","Black","Male",45,"40-49",NA,"No","26-30 mph","O: No Injury","Native American","Male","Single Unit Truck (2-Axle, 6-Tire)","No","31JUL2014","Thursday","Bicyclist Failed to Yield - Sign-Controlled Intersection",12,"Intersection","July","B: Evident Injury",44220,"Bicyclist Ride Through - Sign-Controlled Intersection",2014,"Yes","No","Daylight","Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt",0,1,0,0,0,1,0,"2 lanes",2,0,"CENTENNIAL ST",50032162,"FOURTH ST"
1490,406,"None - Rural Crash","Union","Piedmont","Farms, Woods, Pastures","Rural (<30% Developed)","SR 1627","Rural","50 - 55  MPH","Double Yellow Line, No Passing Zone","Clear","No",18,"16-19",NA,"No","With Traffic","A: Disabling Injury","Travel Lane","White","Male",18,"0-19",NA,"No","51-55 mph","O: No Injury","White","Male","Passenger Car","No","23JUL2014","Wednesday","Bicyclist Left Turn / Merge",14,"Intersection","July","A: Disabling Injury",53100,"Bicyclist Left Turn - Same Direction",2014,"Yes","No","Daylight","Straight - Bottom","State Secondary Route","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt",1,0,0,0,0,1,0,"2 lanes",2,0,"1643",40001627,"1650"
1491,407,"None - Rural Crash",NA,"Coastal","Commercial","Urban (>70% Developed)","17","Rural","40 - 45  MPH","Stop Sign","Clear","No",34,"30-39",NA,"No","Facing Traffic","B: Evident Injury","Travel Lane","White","Male",35,"30-39",NA,"No","0-5 mph","O: No Injury","White","Female","Sport Utility","No","11AUG2014","Monday","Motorist Failed to Yield - Midblock",15,"Non-Intersection","August","B: Evident Injury",56100,"Motorist Drive Out - Commercial Driveway / Alley",2014,"Yes","No","Daylight","Straight - Level","US Route","Dry","Two-Way, Not Divided","None","Driveway, Public","Smooth Asphalt",0,1,0,0,0,1,0,"4 lanes",2,0.28,"2717",29000017,"1929"
1492,408,"Wilmington","New Hanover","Coastal","Commercial","Urban (>70% Developed)","S COLLEGE RD","Urban","40 - 45  MPH","Stop And Go Signal","Clear","No",62,"60-69",NA,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male",30,"30-39",NA,"No","36-40 mph","O: No Injury","White","Male","Van","No","24JUL2014","Thursday","Bicyclist Failed to Yield - Signalized Intersection",11,"Intersection","July","C: Possible Injury",39600,"Bicyclist Ride Through - Signalized Intersection",2014,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Smooth Asphalt",0,0,1,0,0,1,0,"4 lanes",2,0,"BRAGG DR",30000132,"CHALMERS DR"
1493,413,"Charlotte","Mecklenburg","Piedmont","Commercial","Urban (>70% Developed)","PVA 4627 SHARON ROAD","Urban","30 - 35  MPH","No Control Present","Clear","No",21,"20-24",NA,"No","Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male",22,"20-24",NA,"No","0-5 mph","O: No Injury","White","Female","Sport Utility","No","06AUG2014","Wednesday","Motorist Failed to Yield - Midblock",13,"Non-Intersection","August","C: Possible Injury",49800,"Motorist Drive Out - Commercial Driveway / Alley",2014,"Yes","No","Daylight","Straight - Level","Public Vehicular Area","Dry","Two-Way, Not Divided","None","Driveway, Public","Concrete",0,0,1,0,0,1,0,NA,2,0.001,"SHARON ROAD",0,"FAIRVIEW ROAD"
1494,428,"Charlotte","Mecklenburg","Piedmont","Residential","Urban (>70% Developed)","FLAGSTAFF DR","Urban","30 - 35  MPH","No Control Present","Cloudy","No",5,"0-5",NA,"No","Not Applicable","C: Possible Injury",NA,"Hispanic","Male",42,"40-49",NA,"No","16-20 mph","C: Possible Injury","Black","Male","Van","No","19AUG2014","Tuesday","Bicyclist Failed to Yield - Midblock",13,"Non-Intersection","August","C: Possible Injury",47820,"Bicyclist Ride Out - Midblock - Unknown",2014,"No","No","Daylight","Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,1,0,0,1,0,"2 lanes",2,0.028,"KENTLAND LN",0,"TYVOLA RD"
1495,436,"None - Rural Crash","New Hanover","Coastal","Residential","Urban (>70% Developed)","SR 2117","Rural","30 - 35  MPH","No Control Present","Clear","No",18,"16-19",NA,"No","Facing Traffic","B: Evident Injury","Travel Lane","Black","Male",NA,NA,NA,NA,"31-35 mph","Unknown Injury","Unknown/Missing",NA,"Passenger Car","No","17AUG2014","Sunday","Head-On",18,"Intersection-Related","August","B: Evident Injury",64980,"Head-On - Bicyclist",2014,"No","Yes","Daylight","Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,1,0,0,0,1,0,"2 lanes",2,0.004,"2711",40002117,"2718"
1496,439,"None - Rural Crash","Currituck","Coastal","Commercial","Mixed (30% To 70% Developed)","NC 12","Rural","30 - 35  MPH","Double Yellow Line, No Passing Zone","Clear","No",20,"20-24",NA,"No","Not Applicable","C: Possible Injury","Non-Roadway","Other","Female",NA,"70+",NA,"No","31-35 mph","O: No Injury","White","Male","Sport Utility","No","16AUG2014","Saturday","Bicyclist Failed to Yield - Sign-Controlled Intersection",12,"Intersection","August","C: Possible Injury",46740,"Bicyclist Ride Through - Sign-Controlled Intersection",2014,"Yes","No","Daylight","Curve - Level","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,1,0,0,1,0,"2 lanes",2,0.1,"1402",30000012,"1457"
1497,443,"Trent Woods","Craven","Coastal","Residential","Urban (>70% Developed)","COUNTRY CLUB DRIVE","Rural","30 - 35  MPH","No Control Present","Clear","No",53,"50-59",NA,"No","With Traffic","C: Possible Injury","Bike Lane / Paved Shoulder","White","Male",65,"60-69",NA,"No","31-35 mph","O: No Injury","White","Male","Pickup","No","17AUG2014","Sunday","Motorist Overtaking Bicyclist",14,"Non-Intersection","August","C: Possible Injury",53820,"Motorist Overtaking - Other / Unknown",2014,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt",0,0,1,0,0,1,0,"2 lanes",2,0.019,"CHELSEA ROAD",50007073,"COQUINA CIR"
1498,444,"Wilmington","New Hanover","Coastal","Commercial","Urban (>70% Developed)","LULLWATER DR","Urban","30 - 35  MPH","Stop And Go Signal","Rain","No",65,"60-69",NA,"No","Facing Traffic","C: Possible Injury","Travel Lane","Black","Male",60,"60-69",NA,"No","0-5 mph","O: No Injury","Black","Male","Sport Utility","No","03JUL2014","Thursday","Motorist Failed to Yield - Signalized Intersection",11,"Intersection-Related","July","C: Possible Injury",41040,"Motorist Drive Out - Right Turn on Red",2014,"Yes","No","Daylight","Straight - Level","Local Street","Wet","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,1,0,0,1,0,"3 lanes",2,0.005,"MARKET ST",0,"NEW CENTRE DR"
1499,448,"Wilmington",NA,"Coastal","Residential","Urban (>70% Developed)","INDEPENDENCE BLVD","Urban",NA,"No Control Present","Clear","No",30,"30-39",NA,"No","Facing Traffic","B: Evident Injury","Multi-use Path","White","Female",32,"30-39",NA,"No",NA,"O: No Injury","White","Male","Pickup","No","29JUL2014","Tuesday","Motorist Failed to Yield - Midblock",8,"Non-Intersection","July","B: Evident Injury",29280,"Motorist Drive Out - Residential Driveway",2014,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Divided, Positive Median Barrier","None","Driveway, Private","Concrete",0,1,0,0,0,1,0,"4 lanes",2,0.133,"OLEANDER DR",40001209,"PARK AVE"
1500,450,"None - Rural Crash","Mecklenburg","Piedmont","Commercial","Urban (>70% Developed)","E SUGAR CREEK RD","Rural","40 - 45  MPH","Stop And Go Signal","Clear","No",17,"16-19",NA,"No","With Traffic","C: Possible Injury","Travel Lane","Hispanic","Male",38,"30-39",NA,"No","36-40 mph","O: No Injury","White","Male","Pickup","No","21AUG2014","Thursday","Bicyclist Failed to Yield - Signalized Intersection",15,"Intersection","August","C: Possible Injury",54300,"Bicyclist Ride Through - Signalized Intersection",2014,"No","No","Daylight","Straight - Hillcrest","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,1,0,0,1,0,"5 lanes",2,0,"THE PLAZA",40002974,NA
1501,996,"Greensboro","Guilford","Piedmont","Residential","Urban (>70% Developed)","SPRING GARDEN ST","Urban","30 - 35  MPH","Stop Sign","Clear","No",26,"25-29","Yes",NA,"With Traffic","A: Disabling Injury","Travel Lane","White","Male",NA,NA,"Missing",NA,"21-25 mph","Unknown Injury","Unknown/Missing",NA,"Passenger Car","Yes","13APR2013","Saturday","Motorist Failed to Yield - Sign-Controlled Intersection",2,"Intersection","April","A: Disabling Injury",8400,"Motorist Drive Out - Sign-Controlled Intersection",2013,"Yes","Yes","Dark - Lighted Roadway","Straight - Grade","Local Street","Dry","Two-Way, Divided, Positive Median Barrier","None","Four-Way Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
1502,989,"Raleigh","Wake","Piedmont","Institutional","Urban (>70% Developed)","CENTENNIAL PKWY","Urban","30 - 35  MPH","Stop And Go Signal","Clear","No",22,"20-24","No",NA,"With Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male",22,"20-24","No",NA,"16-20 mph","O: No Injury","White","Female","Passenger Car","No","09APR2013","Tuesday","Bicyclist Failed to Yield - Signalized Intersection",14,"Intersection","April","C: Possible Injury",52200,"Bicyclist Ride Out - Signalized  Intersection",2013,"No","No","Daylight","Curve - Grade","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","T-Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
1503,981,"Greenville","Pitt","Coastal","Residential","Urban (>70% Developed)","DAVID DR","Urban","30 - 35  MPH","No Control Present","Clear","No",5,"0-5","No",NA,"Not Applicable","B: Evident Injury","Non-Roadway","Black","Male",43,"40-49","No",NA,"26-30 mph","O: No Injury","Black","Female","Light Truck (Mini-Van, Panel)","No","09APR2013","Tuesday","Bicyclist Failed to Yield - Midblock",16,"Non-Intersection","April","B: Evident Injury",60360,"Bicyclist Ride Out - Commercial Driveway / Alley",2013,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
1504,990,"Long View","Catawba","Piedmont","Commercial","Urban (>70% Developed)","US 70","Rural","50 - 55  MPH","No Control Present","Clear","No",30,"30-39","No",NA,"With Traffic","B: Evident Injury","Travel Lane","White","Male",61,"60-69","No",NA,"31-35 mph","O: No Injury","White","Male","Pickup","No","03APR2013","Wednesday","Motorist Overtaking Bicyclist",22,"Non-Intersection","April","B: Evident Injury",80340,"Motorist Overtaking - Undetected Bicyclist",2013,"Yes","No","Dark - Lighted Roadway","Straight - Level","US Route","Dry","Two-Way, Divided, Unprotected Median","None","End Or Beginning-Divided Highway","Coarse Asphalt",0,0,0,0,0,0,0,"5 lanes",2,0,NA,0,NA
1505,972,"Plymouth","Washington","Coastal","Commercial","Rural (<30% Developed)","US 64","Rural","40 - 45  MPH","No Control Present","Cloudy","No",49,"40-49","No",NA,"Facing Traffic","Unknown Injury","Travel Lane","Unknown/Missing","Male",62,"60-69","No",NA,NA,"O: No Injury","White","Male","Pickup","No","18MAR2013","Monday","Motorist Failed to Yield - Sign-Controlled Intersection",7,"Intersection","March","O: No Injury",27600,"Motorist Drive Out - Sign-Controlled Intersection",2013,"Yes","No","Dawn","Straight - Level","US Route","Wet","Two-Way, Divided, Unprotected Median","None","T-Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"5 lanes",2,0,NA,0,NA
1506,991,"Raleigh","Wake","Piedmont","Residential","Urban (>70% Developed)","PORTSIDE LN","Urban","5 - 15 MPH","No Control Present","Clear","No",13,"11-15","No",NA,"Not Applicable","B: Evident Injury","Driveway / Alley","Black","Male",37,"30-39","No",NA,"6-10 mph","O: No Injury","Black","Female","Passenger Car","No","07APR2013","Sunday","Bicyclist Failed to Yield - Midblock",19,"Non-Intersection","April","B: Evident Injury",69600,"Bicyclist Ride Out - Other Midblock",2013,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
1507,984,"Rocky Mount","Nash","Coastal","Commercial","Urban (>70% Developed)","US 64","Urban","60 - 75 MPH","No Control Present","Clear","No",34,"30-39","Yes",NA,NA,"O: No Injury",NA,"White","Male",68,"60-69","No",NA,"61-65 mph","O: No Injury","White","Female","Passenger Car","Yes","28MAR2013","Thursday","Bicyclist Failed to Yield - Midblock",16,"Non-Intersection","March","O: No Injury",57780,"Bicyclist Ride Out - Midblock - Unknown",2013,"No","No","Daylight","Straight - Level","US Route","Dry","Two-Way, Divided, Positive Median Barrier","None","On or Off Ramp","Smooth Asphalt",0,0,0,0,0,0,0,"5 lanes",2,0,NA,0,NA
1508,977,"Durham","Durham","Piedmont","Residential","Urban (>70% Developed)","PP RIPLING STREAM RD","Urban","5 - 15 MPH","No Control Present","Clear","No",11,"11-15","No",NA,"Not Applicable","B: Evident Injury","Non-Roadway","Black","Female",15,"0-19","Missing",NA,"0-5 mph","O: No Injury","Black","Male","Sport Utility","No","27MAR2013","Wednesday","Non-Roadway",17,"Non-Roadway","March","B: Evident Injury",63840,"Non-Roadway",2013,"No","No","Daylight","Straight - Hillcrest","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,NA,2,0,NA,0,NA
1509,1393,"None - Rural Crash","Brunswick","Coastal","Farms, Woods, Pastures","Urban (>70% Developed)","NC 133","Rural","40 - 45  MPH","Double Yellow Line, No Passing Zone","Clear","No",49,"40-49","No",NA,"With Traffic","B: Evident Injury","Travel Lane","White","Male",31,"30-39","No",NA,"41-45 mph","O: No Injury","White","Female","Passenger Car","No","24AUG2013","Saturday","Motorist Overtaking Bicyclist",21,"Non-Intersection","August","B: Evident Injury",76620,"Motorist Overtaking - Other / Unknown",2013,"Yes","No","Dark - Roadway Not Lighted","Straight - Hillcrest","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"3 lanes",2,0,NA,0,NA
1510,1413,"New Bern","Craven","Coastal","Commercial","Urban (>70% Developed)","US 17","Urban","50 - 55  MPH","Stop And Go Signal","Clear","No",24,"20-24","No",NA,"With Traffic","C: Possible Injury","Other","Black","Male",20,"20-24","No",NA,"6-10 mph","O: No Injury","White","Male","Pickup","No","04SEP2013","Wednesday","Motorist Failed to Yield - Signalized Intersection",20,"Intersection","September","C: Possible Injury",72780,"Motorist Drive Through - Signalized Intersection",2013,"No","No","Dark - Lighted Roadway","Straight - Level","US Route","Dry","Two-Way, Divided, Positive Median Barrier","None","Four-Way Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"6 lanes",2,0,NA,0,NA
1511,1409,"Murfreesboro","Hertford","Coastal","Commercial","Urban (>70% Developed)","MAIN ST","Rural","30 - 35  MPH","Stop And Go Signal","Clear","No",20,"20-24","No",NA,"With Traffic","O: No Injury","Travel Lane","Black","Male",51,"50-59","No",NA,"26-30 mph","O: No Injury","White","Female","Sport Utility","No","05AUG2013","Monday","Bicyclist Failed to Yield - Signalized Intersection",12,"Intersection","August","O: No Injury",43260,"Bicyclist Ride Through - Signalized Intersection",2013,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
1512,1405,"Raleigh","Wake","Piedmont","Commercial","Urban (>70% Developed)","RAY RD","Urban","40 - 45  MPH","No Control Present","Clear","No",63,"60-69","No",NA,"With Traffic","B: Evident Injury","Travel Lane","White","Male",NA,"70+","No",NA,"36-40 mph","O: No Injury","Other","Male","Passenger Car","No","30AUG2013","Friday","Motorist Left Turn / Merge",6,"Non-Intersection","August","B: Evident Injury",22800,"Motorist Left Turn - Opposite Direction",2013,"Yes","No","Dark - Roadway Not Lighted","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
1513,1414,"Pembroke","Robeson","Coastal","Institutional","Urban (>70% Developed)","ROADWAY AT LOT 17","Rural","5 - 15 MPH","Stop Sign","Clear","No",21,"20-24","No",NA,"Not Applicable","C: Possible Injury","Travel Lane","Black","Male",50,"50-59","No",NA,"0-5 mph","O: No Injury","Native American","Male","Passenger Car","No","26AUG2013","Monday","Non-Roadway",9,"Non-Roadway","August","C: Possible Injury",33600,"Non-Roadway",2013,"No","No","Daylight","Straight - Level","Public Vehicular Area","Dry","One-Way, Not Divided","None","T-Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"1 lane",2,0,NA,0,NA
1514,1430,"Jacksonville","Onslow","Coastal","Commercial","Urban (>70% Developed)","GUM BRANCH RD","Urban","40 - 45  MPH","Flashing Stop And Go Signal","Cloudy","No",NA,NA,"No",NA,"With Traffic","O: No Injury","Bike Lane / Paved Shoulder","Unknown/Missing","Male",NA,NA,"Missing",NA,"36-40 mph","Unknown Injury","Unknown/Missing",NA,NA,"No","17AUG2013","Saturday","Parallel Paths - Other Circumstances",11,"Intersection-Related","August","O: No Injury",40200,"Parallel Paths - Other / Unknown",2013,"No","Yes","Dusk","Straight - Level","Local Street","Wet","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
1515,1431,"Greenville","Pitt","Coastal","Institutional","Urban (>70% Developed)","CURY CT","Urban","5 - 15 MPH","Stop Sign","Cloudy","No",17,"16-19","No",NA,"Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male",23,"20-24","No",NA,"0-5 mph","O: No Injury","White","Female","Passenger Car","No","19AUG2013","Monday","Motorist Failed to Yield - Sign-Controlled Intersection",19,"Intersection","August","C: Possible Injury",69660,"Motorist Drive Out - Sign-Controlled Intersection",2013,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
1516,1428,"None - Rural Crash","Union","Piedmont","Residential","Mixed (30% To 70% Developed)","SR 1162","Rural","40 - 45  MPH","Double Yellow Line, No Passing Zone","Clear","No",44,"40-49","No",NA,"With Traffic","B: Evident Injury","Travel Lane","White","Female",38,"30-39","No",NA,"46-50 mph","O: No Injury","White","Female","Passenger Car","No","09SEP2013","Monday","Motorist Overtaking Bicyclist",9,"Non-Intersection","September","B: Evident Injury",35040,"Motorist Overtaking - Other / Unknown",2013,"Yes","No","Daylight","Straight - Grade","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
